Name	NumReads
GQ67_00559	5
GQ67_00560	5
GQ67_00561	34
GQ67_00562	52.443
GQ67_00563	8.557
GQ67_00564	43
GQ67_00565	27
GQ67_00566	50
GQ67_00567	29
GQ67_00568	654.539
GQ67_00569	48.461
GQ67_00570	233
GQ67_00571	34
GQ67_00572	2.478
GQ67_00573	13.522
GQ67_00574	467
GQ67_00575	6
GQ67_00576	28
GQ67_00577	8
GQ67_00578	32
GQ67_00579	8
GQ67_00580	12
GQ67_00581	17
GQ67_00582	56
GQ67_00583	30
GQ67_00584	10
GQ67_00585	10
GQ67_00586	12
GQ67_00587	75
GQ67_00588	175
GQ67_00589	46
GQ67_00590	267
GQ67_00591	2797
GQ67_00592	11
GQ67_00593	3
GQ67_00594	84
GQ67_00595	192
GQ67_00596	34
GQ67_00597	177
GQ67_00598	49
GQ67_00599	0
GQ67_00600	221
GQ67_00601	33
GQ67_00602	6
GQ67_00603	7
GQ67_00605	90
GQ67_00606	440
GQ67_00607	163
GQ67_00608	17
GQ67_00609	106
GQ67_00610	337
GQ67_00611	143.472
GQ67_00612	21.324
GQ67_00613	101.939
GQ67_00614	1.265
GQ67_00615	51
GQ67_00616	148
GQ67_00617	11
GQ67_00618	105
GQ67_00619	124
GQ67_00620	39
GQ67_00621	49
GQ67_00622	72.324
GQ67_00623	18.676
GQ67_00624	26.377
GQ67_00625	3.623
GQ67_00626	15
GQ67_00627	108
GQ67_00628	119
GQ67_00629	172
GQ67_00630	21
GQ67_00631	74
GQ67_00632	62
GQ67_00633	58.915
GQ67_00634	1.085
GQ67_00635	80
GQ67_00636	32
GQ67_00637	2
GQ67_00638	66
GQ67_00639	120.076
GQ67_00640	350
GQ67_00641	3
GQ67_00642	5
GQ67_00643	56
GQ67_00644	18
GQ67_00645	40
GQ67_00646	28
GQ67_00647	46
GQ67_00648	20
GQ67_00649	30
GQ67_00650	20
GQ67_00651	12
GQ67_00652	40
GQ67_00653	21
GQ67_00654	163
GQ67_00655	36
GQ67_00656	194
GQ67_00657	224
GQ67_00658	63
GQ67_00659	66
GQ67_00660	11
GQ67_00661	27
GQ67_00663	34
GQ67_00664	18
GQ67_00665	17
GQ67_00666	316
GQ67_00667	84
GQ67_00668	14
GQ67_00669	45
GQ67_00670	773
GQ67_00671	11
GQ67_00672	10
GQ67_00673	53
GQ67_00674	82
GQ67_00675	30
GQ67_00676	23
GQ67_00677	123
GQ67_00678	18
GQ67_00679	15.031
GQ67_00680	7.969
GQ67_00681	17
GQ67_00682	12
GQ67_00683	522
GQ67_00684	5
GQ67_00685	38
GQ67_00686	241.01
GQ67_00687	0
GQ67_00688	32.144
GQ67_00689	136.856
GQ67_00690	47
GQ67_00691	44
GQ67_00692	6
GQ67_00693	135
GQ67_00694	28
GQ67_00695	51
GQ67_00696	743
GQ67_00697	2
GQ67_00698	5
GQ67_00699	24
GQ67_00700	232
GQ67_00701	2
GQ67_00702	90
GQ67_00703	180
GQ67_00704	45
GQ67_00705	548
GQ67_00706	18
GQ67_00707	265.191
GQ67_00708	30.809
GQ67_00709	187
GQ67_00710	41
GQ67_00711	79
GQ67_00712	41
GQ67_00713	543
GQ67_00714	1
GQ67_00715	265
GQ67_00716	47
GQ67_00717	0
GQ67_00718	2
GQ67_00719	26
GQ67_00720	100
GQ67_00721	873
GQ67_00722	1214
